Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,"4,86187138273593E-18","0,0325",0,0,0,"1,26223302335012","0,00278940349899718","3,0463870585319E-37","-7,86275503544723E-36","0,00278940349899718","-1,44135783627155E-35","0,00468998457738531",0,0,0,0,0,0,package://arm_v4/meshes/base_link.STL,"0,341176470588235","0,666666666666667",1,1,0,0,0,0,0,0,package://arm_v4/meshes/base_link.STL,,base-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bracket_link,"3,1709E-05","-7,6273E-18","0,021174",0,0,0,"0,1844","0,00016429","-5,4545E-20","-1,128E-06","0,00012823","-3,9826E-20","0,00017784",0,0,0,0,0,0,package://arm_v4/meshes/bracket_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://arm_v4/meshes/bracket_link.STL,,bracket-1,bracket_cs,bracket_axis,bracket_joint,revolute,0,0,"0,056",0,0,0,base_link,0,0,1,0,0,"-1,5","1,5",,,"0,05","0,1",,,,
actuator_humerus_link,"0,011121","-1,0154E-16","0,085657",0,0,0,"0,39053","0,0011176","1,5935E-19","-0,00036038","0,0014183","4,0359E-19","0,00038735",0,0,0,0,0,0,package://arm_v4/meshes/actuator_humerus_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://arm_v4/meshes/actuator_humerus_link.STL,,actuator-1,actuator_humerus_cs,actuator_humerus_axis,actuator_humerus_joint,revolute,"-0,0318",0,"0,056875",0,0,0,bracket_link,0,1,0,0,0,"-1,5","1,5",,,"0,05","0,1",,,,
shaft_humerus_link,"0,027112","-4,8418E-07","0,086476",0,0,0,"0,056658","0,00014354","6,9298E-10","-4,4114E-05","0,0001574","2,2122E-09","1,6664E-05",0,0,0,0,0,0,package://arm_v4/meshes/shaft_humerus_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://arm_v4/meshes/shaft_humerus_link.STL,,shaft-1,shaft_humerus_cs,shaft_humerus_axis,shaft_humerus_joint,prismatic,"0,020961",0,"0,066857",0,0,0,actuator_humerus_link,"0,29917",0,"0,9542",0,0,0,"0,3",,,"0,1","0,25",,,,
humerus_link,"0,04161","-0,027","0,21154",0,0,0,"0,23656","0,0024284","5,5605E-18","-0,0003857","0,0023823","-4,177E-19","0,00029595",0,0,0,0,0,0,package://arm_v4/meshes/humerus_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://arm_v4/meshes/humerus_link.STL,,humerus-1,humerus_low_cs,humerus_low_axis,humerus_low_joint,revolute,"0,02545","0,027","0,0267",0,0,0,bracket_link,0,-1,0,0,0,"-1,5","1,5",,,"0,05","0,1",,,,
forearm_link,"0,19879","-0,024","0,018541",0,0,0,"0,45893","0,00028894","-1,0051E-19","-0,0002455","0,0027995","-8,635E-21","0,0028992",0,0,0,0,0,0,package://arm_v4/meshes/forearm_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://arm_v4/meshes/forearm_link.STL,,forearm-1,forearm_low_cs,forearm_low_axis,forearm_low_joint,revolute,"0,078419","-0,003","0,38581",0,0,0,humerus_link,0,1,0,0,0,"-1,5","1,5",,,"0,05","0,1",,,,
ubracket_link,"0,012798","-0,021625","0,0011934",0,0,0,"0,0069614","3,3371E-06","3,4941E-21","-2,8436E-08","1,6083E-06","-3,1702E-21","3,6394E-06",0,0,0,0,0,0,package://arm_v4/meshes/ubracket_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://arm_v4/meshes/ubracket_link.STL,,u_bracket-1,ubracket_cs,ubracket_axis,ubracket_joint,revolute,"0,31277","-0,002375","0,029164",0,0,0,forearm_link,0,1,0,0,0,"-0,8","0,8",,,"0,05","0,1",,,,
endeffector_link,"0,070675","-2,0417E-16","0,0065901",0,0,0,"0,069773","9,2829E-06","3,0953E-19","-1,0257E-05","0,00011854","3,0509E-20","0,00011833",0,0,0,0,0,0,package://arm_v4/meshes/endeffector_link.STL,"0,31765","0,96863",1,1,0,0,0,0,0,0,package://arm_v4/meshes/endeffector_link.STL,,endeffector-1,endeffector_cs,endeffector_axis,endeffector_joint,revolute,"0,014935","-0,021625","0,0013926",0,0,0,ubracket_link,"0,99568",0,"0,092843",0,0,"-4,5","4,5",,,"0,05","0,1",,,,
right_gear_link,"5,5511E-17","-0,0043853",0,0,0,0,"0,0049909","6,4636E-07","7,9577E-23","-1,0501E-22","1,2819E-06","-6,4763E-23","6,4636E-07",0,0,0,0,0,0,package://arm_v4/meshes/right_gear_link.STL,"0,65882","0,37647",1,1,0,0,0,0,0,0,package://arm_v4/meshes/right_gear_link.STL,,gear-2,right_gear_cs,right_gear_axis,right_gear_joint,continuous,"0,31277","-0,0545","0,029164",0,0,0,forearm_link,0,1,0,,,,,,,"0,05","0,1",,,,
left_gear_link,"-5,5511E-17","0,0043853",0,0,0,0,"0,0049909","6,4636E-07","1,7375E-23","4,1275E-22","1,2819E-06","-3,7651E-23","6,4636E-07",0,0,0,0,0,0,package://arm_v4/meshes/left_gear_link.STL,"0,65882","0,37647",1,1,0,0,0,0,0,0,package://arm_v4/meshes/left_gear_link.STL,,gear-1,left_gear_cs,left_gear_axis,left_gear_joint,continuous,"0,31277","0,0065","0,029164",0,0,0,forearm_link,0,1,0,,,,,,,"0,05","0,1",,,,
